meds_count;alpha;mae;rmse;prec;recall
505;1;0.790601504;1.061634433;0.365507519;0.365507519
510;1;0.787298578;1.062323306;0.368815166;0.368815166
515;1;0.797544854;1.07138945;0.364117092;0.364117092
520;1;0.792992424;1.062533422;0.362784091;0.362784091
525;1;0.799717514;1.068069346;0.35819209;0.35819209
530;6;0.7892891;1.062724746;0.367772512;0.367772512
535;2;0.796048918;1.067610902;0.362652869;0.362652869
540;4;0.794850187;1.068488028;0.365355805;0.365355805
545;3;0.791604478;1.063383083;0.364738806;0.364738806
550;3;0.812229539;1.082226199;0.353904045;0.353904045
555;2;0.794800371;1.062136387;0.357660167;0.357660167
560;1;0.802518657;1.076157828;0.360541045;0.360541045
565;1;0.799626866;1.068720814;0.358302239;0.358302239
570;3;0.793122677;1.064726783;0.364126394;0.364126394
575;2;0.800456621;1.069417116;0.358995434;0.358995434
580;4;0.801100917;1.0760103;0.365412844;0.365412844
585;1;0.80893186;1.083740538;0.359300184;0.359300184
590;3;0.803078358;1.076331179;0.360354478;0.360354478
595;3;0.800462535;1.073996746;0.361979648;0.361979648
600;6;0.800908265;1.072740428;0.36030881;0.36030881
605;3;0.79624198;1.072829166;0.367277727;0.367277727
610;7;0.816176471;1.089134168;0.354136029;0.354136029
615;1;0.800273723;1.06986765;0.358759124;0.358759124
620;8;0.806834532;1.075227933;0.355485612;0.355485612
625;8;0.801;1.072846681;0.359727273;0.359727273
630;7;0.809172662;1.078901653;0.355125899;0.355125899
635;3;0.806962025;1.07784696;0.356962025;0.356962025
640;2;0.813392857;1.081087416;0.3525;0.3525
645;3;0.813575865;1.090696317;0.357941437;0.357941437
650;3;0.804959423;1.07655564;0.358972047;0.358972047
655;1;0.811459266;1.084686275;0.35828111;0.35828111
660;7;0.803318386;1.07273591;0.357668161;0.357668161
665;7;0.805630027;1.073733849;0.355764075;0.355764075
670;3;0.805347594;1.07690055;0.357932264;0.357932264
675;1;0.807502207;1.078842504;0.358340688;0.358340688
680;8;0.812872154;1.083590387;0.354903678;0.354903678
685;1;0.804464286;1.076867149;0.359910714;0.359910714
690;2;0.817213842;1.087804461;0.35190772;0.35190772
695;1;0.814473684;1.084378713;0.353333333;0.353333333
