meds_count;mae;rmse;prec;recall
635;0.806731621;1.079234712;0.357307352;0.357307352
640;0.798012647;1.080499734;0.370822042;0.370822042
645;0.812725632;1.084140679;0.354061372;0.354061372
650;0.805791855;1.088566661;0.366606335;0.366606335
655;0.801933216;1.075448981;0.359929701;0.359929701
660;0.804405286;1.082174349;0.363700441;0.363700441
665;0.803497758;1.074072757;0.356681614;0.356681614
670;0.813345196;1.089418533;0.356316726;0.356316726
675;0.80617284;1.07709846;0.356790123;0.356790123
680;0.807922535;1.081942046;0.359771127;0.359771127
685;0.811120841;1.082862846;0.356129597;0.356129597
690;0.799476896;1.079571745;0.366434176;0.366434176
695;0.817192982;1.091112421;0.354210526;0.354210526
