k;alpha;mae;rmse;prec;recall
505;8;0.729586426;1.000106039;0.392788971;0.392788971
510;5;0.730010604;1.000424088;0.392576882;0.392576882
515;1;0.72990456;1.000477087;0.392788971;0.392788971
520;6;0.729480382;0.999946976;0.392895016;0.392895016
525;1;0.729692471;1.000159054;0.392788971;0.392788971
530;1;0.729692471;1.000371087;0.392788971;0.392788971
535;6;0.729268293;0.999840921;0.39300106;0.39300106
540;8;0.729374337;0.999787888;0.392788971;0.392788971
545;8;0.729692471;1.000159054;0.392682927;0.392682927
550;6;0.730010604;1.000424088;0.392470838;0.392470838
555;6;0.730222694;1.001059884;0.392682927;0.392682927
560;1;0.730222694;1.001059884;0.392682927;0.392682927
565;1;0.730116649;1.001112848;0.392895016;0.392895016
570;6;0.730116649;1.001218769;0.392895016;0.392895016
575;4;0.72990456;1.001112848;0.393107105;0.393107105
580;1;0.729586426;1.000953946;0.393425239;0.393425239
585;1;0.729480382;1.001112848;0.393637328;0.393637328
590;1;0.729586426;1.000953946;0.393425239;0.393425239
595;5;0.729692471;1.001324679;0.393531283;0.393531283
600;1;0.729798515;1.00116581;0.39321315;0.39321315
605;6;0.730010604;1.001483523;0.39321315;0.39321315
610;1;0.729798515;1.00116581;0.393319194;0.393319194
615;1;0.730116649;1.001218769;0.392895016;0.392895016
620;3;0.730222694;1.00116581;0.392788971;0.392788971
625;1;0.730010604;1.000847997;0.392788971;0.392788971
630;8;0.730222694;1.001059884;0.392682927;0.392682927
635;2;0.730540827;1.001324679;0.392470838;0.392470838
640;2;0.730752916;1.001536465;0.392258749;0.392258749
645;1;0.730752916;1.001642342;0.392364793;0.392364793
650;7;0.730540827;1.001748207;0.392682927;0.392682927
655;1;0.730328738;1.001748207;0.39300106;0.39300106
660;6;0.72990456;1.001218769;0.393107105;0.393107105
665;4;0.72990456;1.001112848;0.393107105;0.393107105
670;1;0.730116649;1.001536465;0.393107105;0.393107105
675;1;0.730328738;1.001748207;0.39300106;0.39300106
680;4;0.730434783;1.001801135;0.392895016;0.392895016
685;8;0.729798515;1.001271726;0.393319194;0.393319194
690;2;0.72990456;1.001324679;0.39321315;0.39321315
695;1;0.729798515;1.00116581;0.39321315;0.39321315
