threshold;mae;rmse
0;0.867;1.129
0.037;0.868;1.13
0.075;0.864;1.127
0.113;0.827;1.101
0.151;0.767;1.046
0.189;0.73;1.003
0.227;0.73;1.003
0.265;0.73;1.002
0.303;0.73;1.002
0.341;0.73;1.002
0.379;0.73;1.002
