meds_count,alpha,mae,rmse,prec,recall
10,7,0.7782608695652173,1.0631691954105844,0.3772004241781548,0.3772004241781548
15,2,0.7720042417815483,1.0589215987408878,0.3820784729586426,0.3820784729586426
20,7,0.7758730158730158,1.0625914215259453,0.38063492063492066,0.38063492063492066
25,1,0.7721102863202545,1.0610725080993884,0.383881230116649,0.383881230116649
30,1,0.7767762460233298,1.0625705640594014,0.3792152704135737,0.3792152704135737
35,1,0.775609756097561,1.06062267871094,0.37910922587486745,0.37910922587486745
40,1,0.7694591728525981,1.054304915439069,0.3823966065747614,0.3823966065747614
45,1,0.7741525423728813,1.0615586557798005,0.3813559322033898,0.3813559322033898
50,1,0.7760593220338983,1.0626557712333722,0.37966101694915255,0.37966101694915255
55,1,0.7778835978835978,1.0649291404004653,0.37936507936507935,0.37936507936507935
60,7,0.7769883351007423,1.0659583632757612,0.38101802757158004,0.38101802757158004
65,7,0.781885593220339,1.069165285061043,0.3774364406779661,0.3774364406779661
70,3,0.7861228813559322,1.0729236945082758,0.3746822033898305,0.3746822033898305
75,1,0.7781779661016949,1.0655427518087688,0.37997881355932206,0.37997881355932206
80,1,0.7714587737843552,1.0596381368054455,0.3843551797040169,0.3843551797040169
85,6,0.7834213305174235,1.0688544529565607,0.37486800422386485,0.37486800422386485
90,8,0.777449947312961,1.0651090664802452,0.37892518440463646,0.37892518440463646
95,3,0.783157894736842,1.0684962379560894,0.37505263157894736,0.37505263157894736
100,4,0.7790697674418605,1.0675890127813308,0.38012684989429174,0.38012684989429174
105,4,0.7811777076761304,1.0728951956954473,0.3818086225026288,0.3818086225026288
110,1,0.7837381203801478,1.0730449917791238,0.3772967265047518,0.3772967265047518
115,1,0.7803797468354431,1.0668578415179966,0.37679324894514765,0.37679324894514765
120,4,0.7789695057833859,1.0689184958586149,0.3815983175604627,0.3815983175604627
125,1,0.7796004206098843,1.0679343150994738,0.3797055730809674,0.3797055730809674
130,1,0.7820675105485232,1.0691295406467565,0.37753164556962027,0.37753164556962027
135,8,0.7808421052631579,1.0682991893167086,0.37926315789473686,0.37926315789473686
140,1,0.7872765509989484,1.0751470200006106,0.3749737118822292,0.3749737118822292
145,1,0.7786163522012579,1.0687087371121629,0.38144654088050317,0.38144654088050317
150,4,0.7866108786610879,1.0746216615540427,0.375,0.375
155,1,0.7792235047219307,1.0672064915927921,0.3800629590766002,0.3800629590766002
160,2,0.7801041666666667,1.0712628840143146,0.3809375,0.3809375
165,6,0.7785939139559287,1.0677962714065827,0.3805876180482686,0.3805876180482686
170,1,0.7895899053627761,1.0783696850837732,0.3740273396424816,0.3740273396424816
175,2,0.7813684210526316,1.0716932004027429,0.38042105263157894,0.38042105263157894
180,6,0.787759336099585,1.0773026096984406,0.3758298755186722,0.3758298755186722
185,1,0.7816091954022989,1.0720150656312806,0.37951933124346915,0.37951933124346915
190,1,0.7865062761506276,1.0754487240956658,0.37594142259414226,0.37594142259414226
195,2,0.7864389233954452,1.0750800442056747,0.3767080745341615,0.3767080745341615
200,1,0.7862539349422875,1.076555464625734,0.37733473242392446,0.37733473242392446
