k,alpha,mae,rmse,prec,recall
10,2,0.7608695652173914,1.0477972653265872,0.38812301166489926,0.38812301166489926
15,1,0.7583244962884411,1.0453654726304933,0.38992576882290564,0.38992576882290564
20,8,0.7580063626723224,1.0439950999994712,0.38907741251325556,0.38907741251325556
25,8,0.756203605514316,1.0429280097447158,0.3902439024390244,0.3902439024390244
30,3,0.7608695652173914,1.047696053322939,0.38812301166489926,0.38812301166489926
35,8,0.7592788971367974,1.0457204612796474,0.38844114528101803,0.38844114528101803
40,6,0.7573700954400848,1.0422668825722579,0.38822905620360554,0.38822905620360554
45,1,0.75949098621421,1.0441982316484408,0.38674443266171793,0.38674443266171793
50,2,0.7597030752916225,1.0447058879726836,0.3868504772004242,0.3868504772004242
55,3,0.7620360551431601,1.0465314117398572,0.38504772004241783,0.38504772004241783
60,1,0.7600212089077413,1.0461766982624277,0.3872746553552492,0.3872746553552492
65,4,0.7595970307529162,1.0454669102584677,0.38738069989395546,0.38738069989395546
70,1,0.7588547189819724,1.044502855051133,0.3879109225874867,0.3879109225874867
75,1,0.7586426299045599,1.0446043764446808,0.38833510074231176,0.38833510074231176
80,1,0.75949098621421,1.0460246413785652,0.388016967126193,0.388016967126193
85,6,0.7591728525980912,1.0459739508383799,0.38833510074231176,0.38833510074231176
90,1,0.7602332979851537,1.0475948315408252,0.38833510074231176,0.38833510074231176
95,1,0.7587486744432662,1.0469872953415311,0.38981972428419936,0.38981972428419936
100,5,0.7591728525980912,1.0463794064019512,0.38886532343584307,0.38886532343584307
105,2,0.760763520678685,1.0478478676623726,0.3876988335100742,0.3876988335100742
110,1,0.7611876988335101,1.0483537566831358,0.38759278897136795,0.38759278897136795
115,1,0.7616118769883351,1.0484549051957628,0.38716861081654297,0.38716861081654297
120,1,0.760763520678685,1.0469366514110912,0.3870625662778367,0.3870625662778367
125,2,0.7605514316012726,1.0468353562000359,0.38716861081654297,0.38716861081654297
130,2,0.7592788971367974,1.0455176253818457,0.388016967126193,0.388016967126193
135,6,0.7604453870625663,1.0473923586298617,0.388016967126193,0.388016967126193
140,1,0.7618239660657476,1.0484549051957628,0.3868504772004242,0.3868504772004242
145,1,0.7616118769883351,1.0483537566831358,0.3872746553552492,0.3872746553552492
150,1,0.7609756097560976,1.0471392124367673,0.3870625662778367,0.3870625662778367
155,3,0.7619300106044539,1.048505475792932,0.38663838812301166,0.38663838812301166
160,4,0.7623541887592789,1.049112132821005,0.38674443266171793,0.38674443266171793
165,6,0.7618239660657476,1.0488594017020139,0.38716861081654297,0.38716861081654297
170,3,0.7632025450689289,1.0501224490536152,0.3863202545068929,0.3863202545068929
175,7,0.7624602332979852,1.0489605014566177,0.3863202545068929,0.3863202545068929
180,2,0.7629904559915165,1.0487077337955448,0.3852598091198303,0.3852598091198303
185,4,0.763626723223754,1.0498194562752803,0.38547189819724287,0.38547189819724287
190,1,0.7639448568398728,1.0499709635938719,0.3852598091198303,0.3852598091198303
195,1,0.7628844114528102,1.0492637422728168,0.3860021208907741,0.3860021208907741
200,8,0.7632025450689289,1.0499204635835695,0.3862142099681866,0.3862142099681866
205,2,0.7634146341463415,1.0504253544343836,0.3863202545068929,0.3863202545068929
210,1,0.763626723223754,1.0507281724931705,0.3863202545068929,0.3863202545068929
215,2,0.7628844114528102,1.0499709635938719,0.38674443266171793,0.38674443266171793
220,1,0.7638388123011665,1.0506272428380226,0.3860021208907741,0.3860021208907741
225,1,0.7632025450689289,1.0502234272209772,0.38642629904559916,0.38642629904559916
230,1,0.7635206786850477,1.0504758301728347,0.3863202545068929,0.3863202545068929
235,1,0.7646871686108165,1.0513335469465972,0.3853658536585366,0.3853658536585366
240,5,0.7646871686108165,1.0514344088019592,0.3855779427359491,0.3855779427359491
245,4,0.7648992576882291,1.0520393768662846,0.38579003181336163,0.38579003181336163
250,1,0.7647932131495228,1.051787349127032,0.38568398727465536,0.38568398727465536
255,6,0.7654294803817603,1.0523921143034778,0.3853658536585366,0.3853658536585366
260,1,0.7655355249204666,1.0526439972477284,0.38515376458112405,0.38515376458112405
265,2,0.7650053022269353,1.052190564533497,0.3855779427359491,0.3855779427359491
270,1,0.7657476139978792,1.0526439972477284,0.38494167550371156,0.38494167550371156
275,2,0.7652173913043478,1.0523921143034778,0.38547189819724287,0.38547189819724287
280,1,0.7656415694591728,1.0527950980878444,0.3852598091198303,0.3852598091198303
285,1,0.7663838812301167,1.0534496179509372,0.38472958642629906,0.38472958642629906
290,1,0.7663838812301167,1.05355027722382,0.3846235418875928,0.3846235418875928
295,7,0.7663838812301167,1.053852197355315,0.38494167550371156,0.38494167550371156
300,1,0.7667020148462355,1.0541037314060495,0.3846235418875928,0.3846235418875928
305,7,0.7662778366914104,1.0536006032539533,0.38472958642629906,0.38472958642629906
310,1,0.7670201484623542,1.0543552054491352,0.3844114528101803,0.3844114528101803
315,1,0.7663838812301167,1.053751566923254,0.38472958642629906,0.38472958642629906
320,1,0.7667020148462355,1.054003124989079,0.3846235418875928,0.3846235418875928
325,1,0.7670201484623542,1.0543552054491352,0.3844114528101803,0.3844114528101803
330,5,0.7670201484623542,1.0541540310139041,0.384305408271474,0.384305408271474
335,7,0.7670201484623542,1.0544557782738453,0.3846235418875928,0.3846235418875928
340,7,0.7675503711558854,1.0547071683783287,0.38419936373276775,0.38419936373276775
345,1,0.7680805938494167,1.0550590138942826,0.3837751855779427,0.3837751855779427
350,1,0.769034994697773,1.055812573746008,0.38303287380699896,0.38303287380699896
355,2,0.7691410392364794,1.05596322118542,0.3829268292682927,0.3829268292682927
360,1,0.7692470837751856,1.0560134322228079,0.3828207847295864,0.3828207847295864
365,1,0.7691410392364794,1.0558627919473609,0.3828207847295864,0.3828207847295864
370,1,0.7693531283138918,1.0556619048085665,0.38250265111346765,0.38250265111346765
375,1,0.7693531283138918,1.0556619048085665,0.38250265111346765,0.38250265111346765
380,1,0.7695652173913043,1.0558627919473609,0.38229056203605516,0.38229056203605516
385,2,0.7703075291622481,1.056615778558824,0.3820784729586426,0.3820784729586426
390,1,0.7707317073170732,1.0568164843785768,0.38165429480381763,0.38165429480381763
395,1,0.771049840933192,1.0570673130637547,0.3814422057264051,0.3814422057264051
400,3,0.7711558854718982,1.0570171520884228,0.3812301166489926,0.3812301166489926
405,5,0.7715800636267233,1.0574183732651754,0.38101802757158004,0.38101802757158004
410,3,0.772322375397667,1.0579698039379661,0.3804878048780488,0.3804878048780488
415,6,0.7721102863202545,1.0578695651955992,0.3806998939554613,0.3806998939554613
420,1,0.7721102863202545,1.0580700331839814,0.38080593849416755,0.38080593849416755
425,5,0.772322375397667,1.058370663970893,0.38080593849416755,0.38080593849416755
430,1,0.7721102863202545,1.058370663970893,0.38101802757158004,0.38101802757158004
435,1,0.7716861081654295,1.0581702529363428,0.3814422057264051,0.3814422057264051
440,1,0.7709437963944857,1.057518654774554,0.3818663838812301,0.3818663838812301
445,1,0.7709437963944857,1.057518654774554,0.3818663838812301,0.3818663838812301
450,3,0.771049840933192,1.0576690592110092,0.3818663838812301,0.3818663838812301
455,1,0.7721102863202545,1.058370663970893,0.3811240721102863,0.3811240721102863
460,1,0.7720042417815483,1.0584207608002099,0.3813361611876988,0.3813361611876988
465,1,0.7720042417815483,1.0588214501050426,0.38154825026511135,0.38154825026511135
470,1,0.771898197242842,1.058771372234742,0.38165429480381763,0.38165429480381763
475,2,0.772746553552492,1.0593721504402096,0.38101802757158004,0.38101802757158004
480,6,0.7724284199363732,1.0591218676029603,0.3813361611876988,0.3813361611876988
485,1,0.7725344644750796,1.0591719289017665,0.3812301166489926,0.3812301166489926
490,2,0.7725344644750796,1.0592720444016737,0.3812301166489926,0.3812301166489926
495,1,0.772746553552492,1.0593721504402096,0.3811240721102863,0.3811240721102863
500,1,0.7730646871686108,1.0595222917638085,0.38080593849416755,0.38080593849416755
505,1,0.7732767762460233,1.05982251060103,0.3806998939554613,0.3806998939554613
510,4,0.7737009544008484,1.0605226907136678,0.3806998939554613,0.3806998939554613
515,1,0.7738069989395546,1.0605726858906295,0.38059384941675506,0.38059384941675506
520,1,0.7741251325556734,1.0610225364739527,0.38059384941675506,0.38059384941675506
525,1,0.7749734888653235,1.0617219251986407,0.38006362672322375,0.38006362672322375
530,1,0.7751855779427359,1.0617219251986407,0.379745493107105,0.379745493107105
535,1,0.7751855779427359,1.0619216659444957,0.3799575821845175,0.3799575821845175
540,1,0.7750795334040297,1.0616719841404885,0.37985153764581125,0.37985153764581125
545,1,0.7753976670201485,1.062021522230009,0.379745493107105,0.379745493107105
550,1,0.7758218451749734,1.0624208535177553,0.3795334040296925,0.3795334040296925
555,4,0.7755037115588547,1.0619715952609274,0.3795334040296925,0.3795334040296925
560,3,0.7758218451749734,1.0623210347686725,0.37932131495227994,0.37932131495227994
565,7,0.7757158006362672,1.062071446852071,0.37932131495227994,0.37932131495227994
570,1,0.776033934252386,1.0624208535177553,0.3792152704135737,0.3792152704135737
575,5,0.7766702014846235,1.063119322339352,0.37889713679745496,0.37889713679745496
580,6,0.776033934252386,1.062620462886077,0.37932131495227994,0.37932131495227994
585,1,0.7761399787910923,1.0625705640594014,0.37910922587486745,0.37910922587486745
590,4,0.776033934252386,1.0623210347686725,0.37910922587486745,0.37910922587486745
595,1,0.7765641569459173,1.0628699218802609,0.37889713679745496,0.37889713679745496
600,8,0.7763520678685047,1.0625705640594014,0.37889713679745496,0.37889713679745496
605,2,0.7766702014846235,1.0630195691772897,0.37889713679745496,0.37889713679745496
610,1,0.7768822905620361,1.0630195691772897,0.3786850477200424,0.3786850477200424
615,1,0.7764581124072111,1.0627202535105997,0.3790031813361612,0.3790031813361612
620,1,0.7763520678685047,1.0626703593696998,0.37910922587486745,0.37910922587486745
625,1,0.7768822905620361,1.0630195691772897,0.3786850477200424,0.3786850477200424
630,1,0.7769883351007423,1.062969689085801,0.3784729586426299,0.3784729586426299
635,1,0.7768822905620361,1.062919806653568,0.37857900318133614,0.37857900318133614
640,1,0.7772004241781548,1.0630694469283637,0.3782608695652174,0.3782608695652174
645,1,0.777306468716861,1.06321906614239,0.3782608695652174,0.3782608695652174
