meds_count,mae,rmse,prec,recall
10,0.7762460233297985,1.062919806653568,0.3795334040296925,0.3795334040296925
15,0.775609756097561,1.062919806653568,0.38006362672322375,0.38006362672322375
20,0.7790031813361612,1.0656101165372802,0.37815482502651115,0.37815482502651115
25,0.7795334040296925,1.066256769952612,0.3777306468716861,0.3777306468716861
30,0.7808059384941676,1.0675489016790471,0.3767762460233298,0.3767762460233298
35,0.7794273594909862,1.066107577054801,0.37762460233297984,0.37762460233297984
40,0.7781779661016949,1.0646476300970131,0.3784957627118644,0.3784957627118644
45,0.7758218451749734,1.06321906614239,0.3804878048780488,0.3804878048780488
50,0.7753177966101695,1.0639011200390471,0.381885593220339,0.381885593220339
55,0.7796394485683987,1.0662070413062705,0.37762460233297984,0.37762460233297984
60,0.7813756613756614,1.0692429206127219,0.3772486772486772,0.3772486772486772
65,0.7777191129883844,1.0650936571100453,0.3790918690601901,0.3790918690601901
70,0.7795142555438226,1.068607438913153,0.37898627243928196,0.37898627243928196
75,0.7806553911205074,1.0698145499325373,0.3791754756871036,0.3791754756871036
80,0.7779768177028451,1.0643668128651733,0.37871443624868284,0.37871443624868284
85,0.7808870116156283,1.0668767392575131,0.37666314677930307,0.37666314677930307
90,0.7803174603174603,1.0678564792693166,0.377989417989418,0.377989417989418
95,0.778646934460888,1.0664992821451253,0.37896405919661735,0.37896405919661735
100,0.7807407407407407,1.067261738772462,0.3765079365079365,0.3765079365079365
105,0.7809926082365364,1.0679154956305363,0.37740232312565997,0.37740232312565997
110,0.7813487881981033,1.06960103056902,0.37776606954689146,0.37776606954689146
115,0.7776371308016877,1.067154424345813,0.3813291139240506,0.3813291139240506
120,0.7807814149947202,1.0690026339854328,0.37793030623020063,0.37793030623020063
125,0.7824894514767933,1.0703128609211257,0.37721518987341773,0.37721518987341773
130,0.7817226890756303,1.069634352037566,0.3777310924369748,0.3777310924369748
135,0.7770526315789473,1.0638559459269898,0.37957894736842107,0.37957894736842107
