threshold,alpha,mae,rmse,prec,recall
0.0,1,0.7956521739130434,1.079894343050608,0.368610816542948,0.368610816542948
0.07577050950332023,1,0.7956521739130434,1.079894343050608,0.368610816542948,0.368610816542948
0.15154101900664046,1,0.7956521739130434,1.079894343050608,0.368610816542948,0.368610816542948
0.2273115285099607,1,0.7956521739130434,1.079894343050608,0.368610816542948,0.368610816542948
0.30308203801328093,8,0.7952279957582185,1.0795997058727214,0.3689289501590668,0.3689289501590668
0.37885254751660113,6,0.7952279957582185,1.0795997058727214,0.3689289501590668,0.3689289501590668
0.45462305701992134,8,0.78016967126193,1.0685417859168003,0.3809119830328738,0.3809119830328738
0.5303935665232415,6,0.7605514316012726,1.0462273789793406,0.38738069989395546,0.38738069989395546
0.6061640760265617,3,0.7638388123011665,1.0506272428380226,0.38579003181336163,0.38579003181336163
0.681934585529882,1,0.780593849416755,1.0664556613495952,0.37656415694591727,0.37656415694591727
0.7577050950332022,1,0.780593849416755,1.0664556613495952,0.37656415694591727,0.37656415694591727
