threshold,mae,rmse,prec,recall
10,0.7336161187698833,1.0049717342484752,0.3909862142099682,0.3909862142099682
15,0.732237539766702,1.0031234359657186,0.3919406150583245,0.3919406150583245
20,0.7352067868504772,1.0069219605165634,0.39066808059384944,0.39066808059384944
25,0.7356309650053022,1.0061844816079366,0.39003181336161186,0.39003181336161186
30,0.7362672322375398,1.008815859294423,0.3903499469777306,0.3903499469777306
35,0.7326271186440678,1.0055987338691919,0.3934322033898305,0.3934322033898305
40,0.7367974549310711,1.0081323618259477,0.3892895015906681,0.3892895015906681
45,0.7347826086956522,1.0078693547614355,0.39172852598091196,0.39172852598091196
50,0.7363347457627119,1.008911563207044,0.39110169491525426,0.39110169491525426
55,0.7408271474019088,1.0119120840011813,0.38716861081654297,0.38716861081654297
60,0.7379639448568399,1.0112306792935193,0.39056203605514317,0.39056203605514317
65,0.7402542372881356,1.012318198785945,0.388771186440678,0.388771186440678
70,0.74375,1.015504800579495,0.3858050847457627,0.3858050847457627
75,0.7373417721518988,1.01111961171679,0.39219409282700424,0.39219409282700424
80,0.7392592592592593,1.0112593646762944,0.3887830687830688,0.3887830687830688
85,0.7383068783068784,1.0116255450443328,0.39005291005291004,0.39005291005291004
90,0.7443974630021142,1.0154202204513558,0.3857293868921776,0.3857293868921776
95,0.7471578947368421,1.020010319865235,0.386,0.386
100,0.7458377239199157,1.017341729159039,0.3856691253951528,0.3856691253951528
105,0.7467860906217071,1.0178077227993974,0.3840885142255005,0.3840885142255005
110,0.7477296726504752,1.0204353378705968,0.38553326293558604,0.38553326293558604
115,0.7408421052631579,1.0156667501540164,0.39126315789473687,0.39126315789473687
120,0.7514195583596215,1.024925941773294,0.3843322818086225,0.3843322818086225
125,0.7475289169295478,1.019937937535817,0.38559411146161937,0.38559411146161937
130,0.7534518828451883,1.0251543408648973,0.38043933054393303,0.38043933054393303
135,0.7440251572327043,1.0195160606403235,0.3886792452830189,0.3886792452830189
140,0.7568730325288563,1.028706540202401,0.3794333683105981,0.3794333683105981
145,0.7476890756302521,1.0216151325188936,0.3869747899159664,0.3869747899159664
150,0.752421052631579,1.0273112581163664,0.3851578947368421,0.3851578947368421
155,0.7559498956158663,1.0285080505377082,0.3805845511482255,0.3805845511482255
160,0.7463389121338913,1.0213720364392613,0.3880753138075314,0.3880753138075314
165,0.7452455590386625,1.021401090702264,0.390073145245559,0.390073145245559
170,0.7605648535564854,1.0360146523252631,0.38127615062761505,0.38127615062761505
175,0.7549634273772204,1.026961512303843,0.38171368861024035,0.38171368861024035
180,0.7533472803347281,1.0273457697114117,0.3848326359832636,0.3848326359832636
185,0.7593326381647549,1.033838328395521,0.3808133472367049,0.3808133472367049
190,0.7543933054393306,1.0280582501445998,0.3839958158995816,0.3839958158995816
195,0.7616977225672877,1.03339677892449,0.37763975155279506,0.37763975155279506
200,0.7608515057113188,1.0371600332540005,0.380269989615784,0.380269989615784
205,0.7528008298755187,1.0265662054996059,0.3840248962655602,0.3840248962655602
210,0.760539979231568,1.0344030238664272,0.3801661474558671,0.3801661474558671
215,0.7556476683937824,1.0279009246424622,0.3820725388601036,0.3820725388601036
220,0.7550935550935551,1.0308142231158641,0.3847193347193347,0.3847193347193347
225,0.7600414078674949,1.0309897955809904,0.37857142857142856,0.37857142857142856
230,0.7669079627714581,1.0385536040175236,0.37549120992761115,0.37549120992761115
235,0.7609856262833675,1.039270001262239,0.38305954825462013,0.38305954825462013
240,0.7609504132231405,1.0329289175738718,0.3784090909090909,0.3784090909090909
245,0.7626407369498465,1.0367356848520504,0.3803480040941658,0.3803480040941658
250,0.7641393442622951,1.0371184860460065,0.3769467213114754,0.3769467213114754
255,0.7694129763130793,1.0429993191822438,0.3762100926879506,0.3762100926879506
260,0.7635897435897436,1.0423346576131576,0.3832820512820513,0.3832820512820513
265,0.7547227926078028,1.0307888568233212,0.3862422997946612,0.3862422997946612
270,0.7661207778915046,1.0407756339210517,0.3790174002047083,0.3790174002047083
275,0.7709775967413443,1.0398868025502228,0.3715885947046843,0.3715885947046843
280,0.7716024340770791,1.0441569286671282,0.3737322515212982,0.3737322515212982
285,0.7761663286004057,1.0535846278070493,0.37565922920892497,0.37565922920892497
290,0.7664621676891615,1.0410785660924424,0.37903885480572597,0.37903885480572597
295,0.7644444444444445,1.0395220346900111,0.3805050505050505,0.3805050505050505
300,0.7669379450661241,1.0433629796110209,0.37914547304170904,0.37914547304170904
305,0.7752535496957403,1.0519951102393708,0.3758620689655172,0.3758620689655172
310,0.7668705402650356,1.0418852981570477,0.37747196738022426,0.37747196738022426
315,0.7748223350253807,1.0485668246644093,0.374010152284264,0.374010152284264
320,0.7688064192577733,1.0489044769689069,0.3811434302908726,0.3811434302908726
325,0.7783619817997978,1.0496279855205206,0.3704752275025278,0.3704752275025278
330,0.7754048582995952,1.0524215377487336,0.37580971659919027,0.37580971659919027
335,0.7703741152679474,1.043977383156341,0.37492416582406474,0.37492416582406474
340,0.7675730110775428,1.0413408352436881,0.376233635448137,0.376233635448137
345,0.7766932270916335,1.0536410026901006,0.375996015936255,0.375996015936255
350,0.7721442885771543,1.047853039306547,0.3756513026052104,0.3756513026052104
355,0.7804154302670623,1.0568414954890526,0.3724035608308605,0.3724035608308605
360,0.7772,1.0520456263869928,0.3728,0.3728
365,0.7802,1.0562196741208714,0.373,0.373
370,0.7780536246276067,1.0517399401411847,0.3724925521350546,0.3724925521350546
375,0.7804950495049505,1.0521547904041006,0.3695049504950495,0.3695049504950495
380,0.7747544204322201,1.0522218983556533,0.3757367387033399,0.3757367387033399
385,0.7781925343811394,1.053481458171523,0.37475442043222,0.37475442043222
390,0.778968253968254,1.0580380165402585,0.3774801587301587,0.3774801587301587
395,0.7823069403714565,1.0519729636851585,0.36774193548387096,0.36774193548387096
400,0.7816125860373648,1.0527390878183678,0.3671583087512291,0.3671583087512291
405,0.7865290068829892,1.0596283276336553,0.368141592920354,0.368141592920354
410,0.7795098039215687,1.0543560435956474,0.3726470588235294,0.3726470588235294
415,0.7803103782735209,1.0541590071782962,0.3713870029097963,0.3713870029097963
