threshold,mae,rmse,prec,recall
10,0.7775185577942736,1.062121369127445,0.37751855779427357,0.37751855779427357
15,0.7752916224814422,1.0611724442906247,0.37985153764581125,0.37985153764581125
20,0.7740190880169672,1.061771863907786,0.38165429480381763,0.38165429480381763
25,0.7774125132555674,1.0649630704693072,0.379745493107105,0.379745493107105
30,0.7757415254237288,1.0618080997421173,0.3795550847457627,0.3795550847457627
35,0.7731707317073171,1.0589716695071043,0.38059384941675506,0.38059384941675506
40,0.7776483050847458,1.0652941823342763,0.3808262711864407,0.3808262711864407
45,0.7713983050847457,1.0600607593715192,0.38527542372881357,0.38527542372881357
50,0.777542372881356,1.0633533462509304,0.3789194915254237,0.3789194915254237
55,0.7751322751322751,1.0585504714131966,0.37873015873015875,0.37873015873015875
60,0.7771186440677966,1.0643490889040341,0.3797669491525424,0.3797669491525424
65,0.7796825396825396,1.0663690060869442,0.377989417989418,0.377989417989418
70,0.775,1.0636395601537443,0.3811181434599156,0.3811181434599156
75,0.7751585623678647,1.0629748037483322,0.38181818181818183,0.38181818181818183
80,0.7833157338965153,1.0706805856924229,0.37697993664202745,0.37697993664202745
85,0.7820974576271187,1.0706504438337268,0.3787076271186441,0.3787076271186441
90,0.7840211640211641,1.0709734483095867,0.3761904761904762,0.3761904761904762
95,0.7816067653276956,1.0701603286256034,0.37769556025369977,0.37769556025369977
100,0.7763962065331929,1.063723107446232,0.3810326659641728,0.3810326659641728
105,0.785578947368421,1.0738518960903511,0.3761052631578947,0.3761052631578947
110,0.7756329113924051,1.0680930599953016,0.384704641350211,0.384704641350211
115,0.7823280423280423,1.0723558597532306,0.37936507936507935,0.37936507936507935
120,0.7858201058201059,1.0719117076488665,0.37375661375661373,0.37375661375661373
125,0.7862539349422875,1.0743113170195038,0.37534102833158445,0.37534102833158445
130,0.7815126050420168,1.0714005598579206,0.3802521008403361,0.3802521008403361
135,0.7822478991596639,1.071449579625972,0.3788865546218487,0.3788865546218487
140,0.7826178010471204,1.071476937327692,0.37801047120418846,0.37801047120418846
145,0.7814853556485356,1.0718439123234955,0.3803347280334728,0.3803347280334728
150,0.7872899159663865,1.0744844376363434,0.37468487394957983,0.37468487394957983
155,0.7768586387434555,1.0654497858056466,0.38167539267015704,0.38167539267015704
160,0.7793534932221063,1.0707992590492377,0.381021897810219,0.381021897810219
165,0.7863874345549738,1.0765467382241942,0.37643979057591626,0.37643979057591626
170,0.7848326359832636,1.074572990992567,0.3778242677824268,0.3778242677824268
175,0.7844305120167189,1.0724536073005266,0.37659352142110764,0.37659352142110764
180,0.787578947368421,1.0716440886001186,0.37126315789473685,0.37126315789473685
185,0.7882476390346275,1.076993990031761,0.37544596012591813,0.37544596012591813
190,0.7866388308977036,1.0748598005387475,0.37599164926931106,0.37599164926931106
195,0.7866805411030177,1.072986825831477,0.3756503642039542,0.3756503642039542
200,0.7846394984326018,1.0734275028946958,0.3774294670846395,0.3774294670846395
205,0.7891779396462019,1.0809099338611274,0.37793964620187304,0.37793964620187304
210,0.793678756476684,1.0800594879030165,0.3687046632124352,0.3687046632124352
215,0.7973223480947477,1.0851492609961897,0.3707518022657055,0.3707518022657055
220,0.7903626943005181,1.0813060611720722,0.37533678756476685,0.37533678756476685
225,0.7917780061664954,1.0819456419086964,0.37420349434737926,0.37420349434737926
230,0.7956566701137538,1.0854876095878614,0.37166494312306103,0.37166494312306103
235,0.7893595041322314,1.0793420861075396,0.3760330578512397,0.3760330578512397
240,0.7996900826446282,1.0874471584008345,0.36818181818181817,0.36818181818181817
245,0.7919254658385093,1.081560103151359,0.3747412008281574,0.3747412008281574
250,0.7946336429308566,1.0847474298582631,0.3736842105263158,0.3736842105263158
