k,mae,rmse,prec,recall
10,0.763626723223754,1.0575687919633827,0.391304347826087,0.391304347826087
15,0.7620360551431601,1.056415034607443,0.39257688229056203,0.39257688229056203
20,0.7564156945917285,1.0501224490536152,0.39490986214209967,0.39490986214209967
25,0.7548250265111347,1.0469366514110912,0.3943796394485684,0.3943796394485684
30,0.7539766702014846,1.045416192674803,0.3944856839872747,0.3944856839872747
35,0.7529162248144221,1.0428771686883207,0.3938494167550371,0.3938494167550371
40,0.7533404029692471,1.0431821778594597,0.39321314952279957,0.39321314952279957
45,0.7535524920466596,1.0441982316484408,0.39395546129374337,0.39395546129374337
50,0.7550371155885471,1.0436903283975894,0.39151643690349947,0.39151643690349947
55,0.7548250265111347,1.043791928819188,0.3919406150583245,0.3919406150583245
60,0.7549310710498409,1.0433346490075581,0.39151643690349947,0.39151643690349947
65,0.756203605514316,1.0444520906538806,0.39077412513255566,0.39077412513255566
70,0.7573700954400848,1.045821864476131,0.3902439024390244,0.3902439024390244
75,0.7592788971367974,1.047341734286149,0.3887592788971368,0.3887592788971368
80,0.7565217391304347,1.0447058879726836,0.39056203605514317,0.39056203605514317
85,0.7568398727465535,1.0457711641069591,0.39077412513255566,0.39077412513255566
90,0.7572640509013786,1.0461766982624277,0.39077412513255566,0.39077412513255566
95,0.7563096500530223,1.0455176253818457,0.3914103923647932,0.3914103923647932
100,0.7577942735949099,1.046126015090232,0.38992576882290564,0.38992576882290564
105,0.7580063626723224,1.0462273789793406,0.3896076352067869,0.3896076352067869
110,0.7564156945917285,1.04455361698128,0.39056203605514317,0.39056203605514317
115,0.7571580063626723,1.045213297730112,0.39013785790031813,0.39013785790031813
120,0.7569459172852598,1.044299782655892,0.3893955461293743,0.3893955461293743
125,0.7570519618239661,1.0450611006710264,0.39013785790031813,0.39013785790031813
130,0.7588547189819724,1.0468353562000359,0.3889713679745493,0.3889713679745493
135,0.7566277836691411,1.0446551334416956,0.3903499469777306,0.3903499469777306
140,0.7576882290562036,1.0450611006710264,0.3892895015906681,0.3892895015906681
145,0.7577942735949099,1.045010363392168,0.38907741251325556,0.38907741251325556
150,0.7583244962884411,1.0461766982624277,0.3893955461293743,0.3893955461293743
155,0.7583244962884411,1.0467847049187096,0.3897136797454931,0.3897136797454931
160,0.7584305408271474,1.0471392124367673,0.38981972428419936,0.38981972428419936
165,0.759915164369035,1.0479490650036354,0.3887592788971368,0.3887592788971368
170,0.7604453870625663,1.0482020156131762,0.38812301166489926,0.38812301166489926
175,0.7601272534464475,1.0479490650036354,0.38833510074231176,0.38833510074231176
180,0.7600212089077413,1.0477972653265872,0.38822905620360554,0.38822905620360554
185,0.7602332979851537,1.0486066096707454,0.3885471898197243,0.3885471898197243
190,0.7602332979851537,1.0479996600098207,0.38833510074231176,0.38833510074231176
195,0.7606574761399788,1.048505475792932,0.38822905620360554,0.38822905620360554
200,0.7613997879109226,1.0486571729520955,0.38738069989395546,0.38738069989395546
205,0.7619300106044539,1.0497184392477408,0.38738069989395546,0.38738069989395546
210,0.7623541887592789,1.0500214611754135,0.3870625662778367,0.3870625662778367
215,0.7625662778366914,1.0508290924542631,0.3872746553552492,0.3872746553552492
220,0.7615058324496289,1.0502234272209772,0.38822905620360554,0.38822905620360554
225,0.7618239660657476,1.0503748762703218,0.3879109225874867,0.3879109225874867
230,0.7622481442205726,1.0509804542256573,0.3878048780487805,0.3878048780487805
235,0.7622481442205726,1.0509804542256573,0.3876988335100742,0.3876988335100742
