threshold,mae,rmse,prec,recall
10,0.7618239660657476,1.0480502525735138,0.3869565217391304,0.3869565217391304
15,0.7595970307529162,1.0464807457471506,0.38918345705196183,0.38918345705196183
20,0.7581124072110287,1.0441474524409973,0.38907741251325556,0.38907741251325556
25,0.7559915164369035,1.0428263251532643,0.3904559915164369,0.3904559915164369
30,0.7608695652173914,1.0479996600098207,0.38833510074231176,0.38833510074231176
35,0.75949098621421,1.045923257841484,0.38833510074231176,0.38833510074231176
40,0.7576882290562036,1.042419487597489,0.3879109225874867,0.3879109225874867
45,0.7600212089077413,1.0444520906538806,0.3862142099681866,0.3862142099681866
50,0.7601272534464475,1.0449088814435534,0.38642629904559916,0.38642629904559916
55,0.7620360551431601,1.046632736367266,0.38515376458112405,0.38515376458112405
60,0.759915164369035,1.046126015090232,0.38748674443266173,0.38748674443266173
65,0.7601272534464475,1.0456190482491727,0.38674443266171793,0.38674443266171793
70,0.7593849416755037,1.0449596236497964,0.38759278897136795,0.38759278897136795
75,0.7595970307529162,1.0457711641069591,0.3879109225874867,0.3879109225874867
80,0.7600212089077413,1.0471898465710026,0.38822905620360554,0.38822905620360554
85,0.7597030752916225,1.0467340511863763,0.38812301166489926,0.38812301166489926
90,0.7605514316012726,1.0477466605468941,0.388016967126193,0.388016967126193
95,0.7593849416755037,1.0474935999774115,0.3893955461293743,0.3893955461293743
100,0.7592788971367974,1.0464300773013004,0.3887592788971368,0.3887592788971368
105,0.7611876988335101,1.0482525984104363,0.38748674443266173,0.38748674443266173
110,0.7616118769883351,1.048758292201446,0.38738069989395546,0.38738069989395546
115,0.7618239660657476,1.0485560439511419,0.3869565217391304,0.3869565217391304
120,0.7609756097560976,1.0468353562000359,0.38663838812301166,0.38663838812301166
125,0.7606574761399788,1.0469872953415311,0.38716861081654297,0.38716861081654297
130,0.759915164369035,1.045923257841484,0.38748674443266173,0.38748674443266173
135,0.76033934252386,1.047341734286149,0.38812301166489926,0.38812301166489926
140,0.7620360551431601,1.0488594017020139,0.3869565217391304,0.3869565217391304
145,0.7622481442205726,1.0489605014566177,0.3868504772004242,0.3868504772004242
150,0.7609756097560976,1.0472404782570743,0.3870625662778367,0.3870625662778367
155,0.7618239660657476,1.0484549051957628,0.38663838812301166,0.38663838812301166
160,0.7625662778366914,1.0493142738889347,0.38663838812301166,0.38663838812301166
165,0.7623541887592789,1.0495163760236843,0.3869565217391304,0.3869565217391304
170,0.7632025450689289,1.0502234272209772,0.3863202545068929,0.3863202545068929
175,0.7624602332979852,1.0490615914680754,0.3863202545068929,0.3863202545068929
180,0.7635206786850477,1.049667927088375,0.3852598091198303,0.3852598091198303
185,0.7634146341463415,1.0497184392477408,0.3855779427359491,0.3855779427359491
190,0.7641569459172852,1.0504758301728347,0.3853658536585366,0.3853658536585366
195,0.7629904559915165,1.0495163760236843,0.3860021208907741,0.3860021208907741
200,0.7635206786850477,1.0502739126639686,0.3861081654294804,0.3861081654294804
205,0.7638388123011665,1.0508290924542631,0.3861081654294804,0.3861081654294804
210,0.7639448568398728,1.0510813499638272,0.3861081654294804,0.3861081654294804
215,0.7630965005302227,1.0504758301728347,0.3868504772004242,0.3868504772004242
220,0.7639448568398728,1.050677708877528,0.38589607635206785,0.38589607635206785
225,0.7637327677624602,1.0507786336852991,0.3861081654294804,0.3861081654294804
230,0.764050901378579,1.0510309033054523,0.3860021208907741,0.3860021208907741
235,0.7643690349946978,1.0510813499638272,0.3855779427359491,0.3855779427359491
240,0.7651113467656415,1.0519385730164037,0.3853658536585366,0.3853658536585366
245,0.7651113467656415,1.0520393768662846,0.38547189819724287,0.38547189819724287
250,0.7653234358430541,1.0520393768662846,0.38515376458112405,0.38515376458112405
255,0.7652173913043478,1.052190564533497,0.38547189819724287,0.38547189819724287
260,0.7658536585365854,1.0529965321465304,0.38504772004241783,0.38504772004241783
265,0.7656415694591728,1.0526943666042778,0.38504772004241783,0.38504772004241783
270,0.7659597030752916,1.0528454602155535,0.3848356309650053,0.3848356309650053
275,0.7652173913043478,1.0522913442439465,0.3853658536585366,0.3853658536585366
280,0.7659597030752916,1.0529461772445508,0.3848356309650053,0.3848356309650053
285,0.7671261930010604,1.054003124989079,0.38409331919406153,0.38409331919406153
290,0.7661717921527041,1.0534496179509372,0.3848356309650053,0.3848356309650053
295,0.7661717921527041,1.053751566923254,0.38515376458112405,0.38515376458112405
300,0.7669141039236479,1.0547071683783287,0.38494167550371156,0.38494167550371156
305,0.7667020148462355,1.053801883340469,0.384305408271474,0.384305408271474
310,0.7675503711558854,1.0546066195274992,0.383881230116649,0.383881230116649
315,0.7665959703075291,1.053852197355315,0.3845174973488865,0.3845174973488865
320,0.7672322375397667,1.0543552054491352,0.38419936373276775,0.38419936373276775
325,0.7675503711558854,1.0546066195274992,0.383881230116649,0.383881230116649
330,0.7672322375397667,1.0543552054491352,0.38419936373276775,0.38419936373276775
335,0.7669141039236479,1.0541037314060495,0.3844114528101803,0.3844114528101803
340,0.767762460233298,1.0549082373284688,0.38398727465535526,0.38398727465535526
345,0.7689289501590668,1.0556619048085665,0.38303287380699896,0.38303287380699896
350,0.7694591728525981,1.0561138471360023,0.38271474019088014,0.38271474019088014
355,0.7693531283138918,1.05596322118542,0.3826086956521739,0.3826086956521739
360,0.7694591728525981,1.0560134322228079,0.38250265111346765,0.38250265111346765
365,0.7695652173913043,1.0556619048085665,0.3821845174973489,0.3821845174973489
370,0.7697773064687169,1.0555614469023764,0.38176033934252385,0.38176033934252385
375,0.7700954400848357,1.0557121301769516,0.3814422057264051,0.3814422057264051
380,0.7704135737009544,1.0562644516069477,0.38154825026511135,0.38154825026511135
385,0.771049840933192,1.0569669887325779,0.3813361611876988,0.3813361611876988
390,0.7712619300106045,1.0571676278742357,0.3812301166489926,0.3812301166489926
395,0.7720042417815483,1.0577191892704827,0.3806998939554613,0.3806998939554613
400,0.7721102863202545,1.0577693169541804,0.38059384941675506,0.38059384941675506
405,0.7724284199363732,1.0581201442467,0.3804878048780488,0.3804878048780488
410,0.7724284199363732,1.0581201442467,0.3804878048780488,0.3804878048780488
415,0.7725344644750796,1.058370663970893,0.38059384941675506,0.38059384941675506
420,0.772746553552492,1.0585710370631787,0.3803817603393425,0.3803817603393425
425,0.7732767762460233,1.0593220986034453,0.3802757158006363,0.3802757158006363
430,0.7733828207847296,1.0595723341438936,0.3803817603393425,0.3803817603393425
435,0.7726405090137858,1.0591218676029603,0.38101802757158004,0.38101802757158004
440,0.7721102863202545,1.0586712093877053,0.3813361611876988,0.3813361611876988
445,0.7720042417815483,1.0588214501050426,0.38154825026511135,0.38154825026511135
450,0.7722163308589608,1.0591218676029603,0.38154825026511135,0.38154825026511135
455,0.7728525980911983,1.0593220986034453,0.3809119830328738,0.3809119830328738
460,0.7735949098621421,1.0601726584606934,0.3804878048780488,0.3804878048780488
