threshold,mae,rmse,prec,recall
0.0,0.8679745493107105,1.1296167200658753,0.3247083775185578,0.3247083775185578
0.037942851614936726,0.868610816542948,1.1309302283236402,0.3248144220572641,0.3248144220572641
0.07588570322987345,0.8641569459172853,1.127549544166158,0.32767762460233296,0.32767762460233296
0.11382855484481018,0.8279957582184517,1.1016232118807232,0.3488865323435843,0.3488865323435843
0.1517714064597469,0.7679745493107105,1.0464300773013004,0.3802757158006363,0.3802757158006363
0.18971425807468362,0.7301166489925769,1.0033348423823893,0.39522799575821843,0.39522799575821843
0.22765710968962033,0.7304347826086957,1.0038103440326018,0.3943796394485684,0.3943796394485684
0.26559996130455704,0.7303287380699894,1.0023831623894037,0.39321314952279957,0.39321314952279957
0.30354281291949375,0.7304347826086957,1.0021186464427505,0.3931071049840933,0.3931071049840933
0.34148566453443047,0.7305408271474019,1.0020657348744861,0.3928950159066808,0.3928950159066808
0.3794285161493672,0.7305408271474019,1.0020657348744861,0.3928950159066808,0.3928950159066808
