threshold;mae;rmse
0;0.795;1.079
0.075;0.795;1.079
0.151;0.795;1.079
0.227;0.795;1.079
0.303;0.796;1.081
0.378;0.795;1.08
0.454;0.761;1.047
0.53;0.781;1.066
0.606;0.78;1.066
0.681;0.78;1.066
0.757;0.78;1.066
