threshold;mae;rmse
0;0.804;1.076
0.043;0.803;1.074
0.086;0.802;1.073
0.129;0.8;1.071
0.172;0.798;1.07
0.215;0.793;1.065
0.258;0.796;1.067
0.301;0.798;1.068
0.345;0.797;1.067
0.388;0.797;1.067
0.431;0.797;1.067
