threshold;mae;rmse
0;0.867;1.129
0.056;0.857;1.12
0.113;0.783;1.056
0.17;0.75;1.023
0.227;0.736;1.007
0.284;0.73;1.001
0.34;0.73;1.001
0.397;0.73;1.002
0.454;0.73;1.002
0.511;0.73;1.002
