threshold;mae;rmse
0;0.923;1.197
0.052;0.923;1.198
0.105;0.93;1.207
0.158;0.94;1.217
0.211;0.942;1.225
0.264;0.959;1.245
0.317;0.967;1.254
0.369;0.974;1.259
0.422;0.973;1.26
0.475;0.974;1.259
0.528;0.974;1.259
