threshold;mae;rmse
0;1.028;1.265
0.036;0.821;1.093
0.073;0.798;1.069
0.109;0.799;1.07
0.146;0.801;1.071
0.183;0.801;1.072
0.219;0.801;1.072
0.256;0.8;1.07
0.292;0.8;1.07
0.329;0.8;1.07
0.366;0.8;1.07
